CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.864.214/0001-06;2021-03-31;2;ENERGISA S.A.;015253;ITR;104419;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104419
00.897.864/0001-58;2021-03-31;1;SANTA CATARINA PART INVEST SA;015199;ITR;104415;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104415
00.924.429/0001-75;2021-03-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;104122;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104122
00.938.574/0001-05;2021-03-31;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;104098;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104098
00.974.211/0001-25;2021-03-31;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;104532;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104532
00.979.969/0001-56;2021-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;102969;2021-04-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=102969
01.027.058/0001-91;2021-03-31;1;CIELO S.A.;021733;ITR;103097;2021-04-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103097
01.083.200/0001-18;2021-03-31;1;NEOENERGIA S.A.;015539;ITR;103503;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103503
01.083.200/0001-18;2021-03-31;2;NEOENERGIA S.A.;015539;ITR;104047;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104047
01.104.937/0001-70;2021-03-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;103966;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103966
01.107.327/0001-20;2021-03-31;1;BBM LOGÍSTICA S.A.;024660;ITR;103634;2021-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103634
01.258.944/0001-26;2021-03-31;1;FERROVIA SUL-ATLANTICO S.A.;015709;ITR;104515;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104515
01.319.044/0001-41;2021-03-31;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;104401;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104401
01.417.222/0001-77;2021-03-31;1;MRS LOGISTICA S.A.;017949;ITR;104050;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104050
01.468.594/0001-22;2021-03-31;1;LG INFORMÁTICA S.A.;025666;ITR;104181;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104181
01.468.594/0001-22;2021-03-31;2;LG INFORMÁTICA S.A.;025666;ITR;104303;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104303
01.543.032/0001-04;2021-03-31;1;CELG DISTRIBUICAO S.A. - CELG D;025577;ITR;103258;2021-04-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103258
01.545.826/0001-07;2021-03-31;1;GAFISA S.A.;016101;ITR;104476;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104476
01.548.981/0001-79;2021-03-31;1;INVESTIMENTOS BEMGE S.A.;006041;ITR;103586;2021-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103586
01.599.101/0001-93;2021-03-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;025160;ITR;103532;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103532
01.616.929/0001-02;2021-03-31;1;SANEAMENTO DE GOIAS SA;019186;ITR;104043;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104043
01.616.929/0001-02;2021-03-31;2;SANEAMENTO DE GOIAS SA;019186;ITR;104077;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104077
01.616.929/0001-02;2021-03-31;3;SANEAMENTO DE GOIAS SA;019186;ITR;105685;2021-06-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105685
01.838.723/0001-27;2021-03-31;1;BRF S.A.;016292;ITR;103905;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103905
01.851.771/0001-55;2021-03-31;1;524 PARTICIPACOES S.A.;016284;ITR;104236;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104236
01.896.779/0001-38;2021-03-31;1;CSU CARDSYSTEM S.A.;020044;ITR;103507;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103507
01.917.818/0001-36;2021-03-31;1;LIGHT ENERGIA S.A.;023000;ITR;104109;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104109
01.917.818/0001-36;2021-03-31;2;LIGHT ENERGIA S.A.;023000;ITR;104130;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104130
01.938.783/0001-11;2021-03-31;1;CIA PARTICIPACOES ALIANCA DA BAHIA;018708;ITR;104512;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104512
01.957.772/0001-89;2021-03-31;1;SUL 116 PARTICIPACOES S.A.;016438;ITR;104738;2021-05-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104738
01.971.614/0001-83;2021-03-31;1;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;016497;ITR;104539;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104539
01.989.044/0001-59;2021-03-31;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;016551;ITR;104405;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104405
02.016.440/0001-62;2021-03-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;016527;ITR;104073;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104073
02.062.747/0001-08;2021-03-31;1;SUDESTE S.A.;016586;ITR;104190;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104190
02.105.040/0001-23;2021-03-31;1;VIRGO II COMPANHIA DE SECURITIZACAO;018287;ITR;104495;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104495
02.149.205/0001-69;2021-03-31;1;PORTO SEGURO S.A.;016659;ITR;103273;2021-05-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103273
02.162.616/0001-94;2021-03-31;1;UPTICK PARTICIPACOES S.A.;016624;ITR;104202;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104202
02.193.750/0001-52;2021-03-31;1;DEXXOS PARTICIPAÇÕES S.A.;016632;ITR;104393;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104393
02.201.787/0001-85;2021-03-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;016675;ITR;104193;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104193
02.217.319/0001-07;2021-03-31;1;YBYRÁ S.A.;016705;ITR;104235;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104235
02.221.531/0001-30;2021-03-31;1;RODONORTE - CONC. ROD. INTEGRADAS S.A.;019151;ITR;104085;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104085
02.281.836/0001-37;2021-03-31;1;TRANSNORDESTINA LOGISTICA SA;020443;ITR;104200;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104200
02.286.479/0001-08;2021-03-31;1;LOCALIZA FLEET S.A.;024813;ITR;103529;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103529
02.291.077/0001-93;2021-03-31;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;019232;ITR;103655;2021-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103655
02.302.100/0001-06;2021-03-31;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;016985;ITR;103940;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103940
02.302.101/0001-42;2021-03-31;1;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;016993;ITR;103414;2021-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103414
02.318.346/0001-68;2021-03-31;1;OPPORTUNITY ENERGIA E PARTICIPACOES S.A.;016942;ITR;104222;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104222
02.328.280/0001-97;2021-03-31;1;ELEKTRO REDES S.A.;017485;ITR;103499;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103499
02.351.144/0001-18;2021-03-31;1;TEGMA GESTAO LOGISTICA S.A.;020800;ITR;103304;2021-05-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103304
02.351.877/0001-52;2021-03-31;1;LOCAWEB SERVIÇOS DE INTERNET S.A.;024910;ITR;103895;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103895
02.357.251/0001-53;2021-03-31;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;024872;ITR;103875;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103875
02.382.073/0001-10;2021-03-31;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;023469;ITR;103907;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103907
02.387.241/0001-60;2021-03-31;1;RUMO S.A.;017450;ITR;104120;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104120
02.397.080/0001-96;2021-03-31;1;ITAPEBI GERACAO DE ENERGIA S.A.;019364;ITR;103495;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103495
02.415.408/0001-50;2021-03-31;1;CONC ROD.OESTE SP VIAOESTE S.A;021024;ITR;104074;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104074
02.421.421/0001-11;2021-03-31;1;TIM S.A.;024929;ITR;103448;2021-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103448
02.429.144/0001-93;2021-03-31;1;CPFL ENERGIA S.A.;018660;ITR;104066;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104066
02.451.848/0001-62;2021-03-31;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;020192;ITR;104081;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104081
02.474.103/0001-19;2021-03-31;1;ENGIE BRASIL ENERGIA S.A.;017329;ITR;103410;2021-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103410
02.502.844/0001-66;2021-03-31;1;RUMO MALHA PAULISTA S.A.;017930;ITR;104617;2021-05-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104617
02.509.186/0001-34;2021-03-31;1;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;023060;ITR;104418;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104418
02.509.491/0001-26;2021-03-31;1;CONC ECOVIAS IMIGRANTES S.A.;020397;ITR;104057;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104057
02.558.157/0001-62;2021-03-31;1;TELEFÔNICA BRASIL S.A;017671;ITR;103805;2021-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103805
02.643.896/0001-52;2021-03-31;1;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;018430;ITR;104403;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104403
02.664.042/0001-52;2021-03-31;1;TERMINAL GARAGEM MENEZES CORTES S.A.;018538;ITR;104017;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104017
02.682.287/0001-02;2021-03-31;1;PAN ARRENDAMENTO MERCANTIL S.A.;018554;ITR;103638;2021-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103638
02.724.983/0001-34;2021-03-31;1;SANESALTO SANEAMENTO S.A.;019593;ITR;104251;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104251
02.736.470/0001-43;2021-03-31;1;PATRIA CIA SECURITIZADORA DE CRED IMOB;018236;ITR;104530;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104530
02.762.113/0001-50;2021-03-31;1;BRAZILIAN FINANCE E REAL ESTATE S.A.;017922;ITR;103636;2021-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103636
02.762.115/0001-49;2021-03-31;1;MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;017914;ITR;104531;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104531
02.762.121/0001-04;2021-03-31;1;SANTOS BRASIL PARTICIPACOES S.A.;017892;ITR;103792;2021-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103792
02.762.124/0001-30;2021-03-31;1;BETAPART PARTICIPACOES S.A.;017884;ITR;104227;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104227
02.773.542/0001-22;2021-03-31;1;RB SEC COMPANHIA DE SECURITIZAÇÃO;018406;ITR;104323;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104323
02.783.423/0001-50;2021-03-31;1;ALTERE SECURITIZADORA S.A.;018066;ITR;104547;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104547
02.796.775/0001-40;2021-03-31;1;GAMA PARTICIPACOES S.A.;017965;ITR;104237;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104237
02.800.026/0001-40;2021-03-31;1;COGNA EDUCAÇÃO S.A.;017973;ITR;104170;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104170
02.846.056/0001-97;2021-03-31;1;CCR S.A.;018821;ITR;104069;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104069
02.860.694/0001-62;2021-03-31;1;T4F ENTRETENIMENTO S.A.;022454;ITR;104075;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104075
02.916.265/0001-60;2021-03-31;1;JBS S.A.;020575;ITR;103914;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103914
02.919.555/0001-67;2021-03-31;1;ARTERIS S.A.;019771;ITR;104001;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104001
02.932.074/0001-91;2021-03-31;1;HYPERA S.A.;021431;ITR;103053;2021-04-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103053
02.950.811/0001-89;2021-03-31;1;PDG REALTY S.A. EMPREEND E PARTICIPACOES - EM REC JUDICIAL;020478;ITR;104306;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104306
02.992.449/0001-09;2021-03-31;1;PROMPT PARTICIPACOES S.A.;018333;ITR;104209;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104209
02.998.301/0001-81;2021-03-31;1;RIO PARANAPANEMA ENERGIA S.A.;018368;ITR;104131;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104131
02.998.611/0001-04;2021-03-31;1;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;018376;ITR;103180;2021-04-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103180
03.014.553/0001-91;2021-03-31;1;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;019330;ITR;104034;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104034
03.025.305/0001-46;2021-03-31;1;RODOVIAS DAS COLINAS S.A.;023167;ITR;104416;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104416
03.207.703/0001-83;2021-03-31;1;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;021849;ITR;104039;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104039
03.220.438/0001-73;2021-03-31;1;EQUATORIAL ENERGIA S.A.;020010;ITR;103930;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103930
